priority,gap_type,risk_range,app_id,app_name,detail,recommended_action,responsible_owner,deadline,deadline_days
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP002,SAP Finance ERP,Connection CONN0006 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP005,Freight Booking Platform,Connection CONN0019 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP006,Port Operations Dashboard,Connection CONN0027 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP011,VPN & Remote Access Gateway,Connection CONN0050 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP034,SIEM Splunk,Connection CONN0136 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP035,Privileged Access Workstation,Connection CONN0140 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP050,Audit Management System,Connection CONN0194 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP053,Sanctions Screening Tool,Connection CONN0206 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,UNDOCUMENTED_CONNECTION,HIGH,APP069,Kubernetes Cluster AKS,Connection CONN0239 has no documented status,Investigate and document or remove connection within 24 hours.,iam_team,2026-03-10,1
CRITICAL,STALE_REVIEW,HIGH,APP001,SAP HR Core,Last reviewed 440 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP001,SAP HR Core,Last reviewed 681 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP003,Vessel Tracking System,Last reviewed 724 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
CRITICAL,STALE_REVIEW,HIGH,APP004,Customer Portal,Last reviewed 479 days ago (threshold: 180 days),Complete access review immediately. Escalate if owner unresponsive after 24h.,application_owner,2026-03-12,3
