app_id,app_name,owner,department,sub_department,environment,data_sensitivity,business_critical,region,last_updated
APP001,SAP HR Core,hr.admin@cmacgm.com,Human Resources,HR Systems,Production,HIGH,Yes,Global,2024-01-15
APP002,SAP Finance ERP,cfo.office@cmacgm.com,Finance,ERP,Production,HIGH,Yes,Global,2024-02-10
APP003,Vessel Tracking System,fleet.ops@cmacgm.com,Operations,Fleet Management,Production,HIGH,Yes,Global,2024-03-01
APP004,Customer Portal,digital@cmacgm.com,Commercial,Digital,Production,HIGH,Yes,Global,2024-02-20
APP005,Freight Booking Platform,booking@cmacgm.com,Commercial,Booking,Production,HIGH,Yes,Global,2024-01-30
APP006,Port Operations Dashboard,port.ops@cmacgm.com,Operations,Port Management,Production,HIGH,Yes,Global,2024-03-10
APP007,Payroll System,hr.payroll@cmacgm.com,Human Resources,Payroll,Production,HIGH,Yes,Global,2023-11-05
APP008,Treasury Management System,treasury@cmacgm.com,Finance,Treasury,Production,HIGH,Yes,Global,2024-02-15
APP009,Legal Document Management,legal@cmacgm.com,Legal,Contracts,Production,HIGH,Yes,Global,2024-01-20
APP010,Email Gateway,it.admin@cmacgm.com,IT,Infrastructure,Production,HIGH,Yes,Global,2024-02-10
APP011,VPN & Remote Access Gateway,it.security@cmacgm.com,IT,Security,Production,HIGH,Yes,Global,2024-03-05
APP012,Active Directory,it.iam@cmacgm.com,IT,IAM,Production,HIGH,Yes,Global,2024-03-01
APP013,Azure AD,it.iam@cmacgm.com,IT,IAM,Production,HIGH,Yes,Global,2024-03-01
APP014,CEVA Logistics TMS,logistics.ops@cmacgm.com,Logistics,Transport Management,Production,HIGH,Yes,Global,2024-02-28
APP015,Air Cargo Booking System,aircargo@cmacgm.com,Air Cargo,Booking,Production,HIGH,Yes,Global,2024-02-15
APP016,Container Tracking API,api.team@cmacgm.com,IT,APIs,Production,HIGH,Yes,Global,2024-03-05
APP017,Customs Clearance Platform,customs@cmacgm.com,Compliance,Customs,Production,HIGH,Yes,Global,2024-01-25
APP018,Trade Finance Platform,tradefinance@cmacgm.com,Finance,Trade Finance,Production,HIGH,Yes,Global,2024-02-05
APP019,Risk Management System,risk@cmacgm.com,Compliance,Risk,Production,HIGH,Yes,Global,2024-01-10
APP020,Procurement Platform,procurement@cmacgm.com,Finance,Procurement,Production,HIGH,Yes,Global,2024-02-20
APP021,Fleet Maintenance System,fleet.maintenance@cmacgm.com,Operations,Fleet Management,Production,HIGH,Yes,Global,2024-03-01
APP022,Crew Management System,crew.mgmt@cmacgm.com,Operations,Crew,Production,HIGH,Yes,Global,2024-01-15
APP023,Port Agency Management,port.agency@cmacgm.com,Operations,Port Management,Production,MEDIUM,Yes,EMEA,2024-02-10
APP024,Dangerous Goods Management,hse@cmacgm.com,HSE,Compliance,Production,HIGH,Yes,Global,2024-01-20
APP025,Invoice Processing System,finance.ops@cmacgm.com,Finance,Accounts Payable,Production,HIGH,Yes,Global,2024-02-25
APP026,CRM Salesforce,sales@cmacgm.com,Commercial,Sales,Production,MEDIUM,Yes,Global,2024-03-01
APP027,Marketing Automation,marketing@cmacgm.com,Commercial,Marketing,Production,MEDIUM,No,Global,2024-01-30
APP028,Business Intelligence Platform,bi.team@cmacgm.com,IT,Analytics,Production,MEDIUM,Yes,Global,2024-02-15
APP029,Data Warehouse,data.platform@cmacgm.com,IT,Data,Production,HIGH,Yes,Global,2024-03-01
APP030,Compliance Reporting Tool,compliance@cmacgm.com,Compliance,Reporting,Production,HIGH,Yes,Global,2024-01-15
APP031,Internal Intranet,comms@cmacgm.com,Communications,Internal Comms,Production,MEDIUM,No,Global,2024-02-01
APP032,Learning Management System,hr.learning@cmacgm.com,Human Resources,Learning,Production,LOW,No,Global,2024-01-20
APP033,IT Service Desk ServiceNow,it.servicedesk@cmacgm.com,IT,Service Management,Production,MEDIUM,Yes,Global,2024-03-05
