connection_id,app_id,app_name,owner,department,environment,data_sensitivity,business_critical,iam_product_id,product_name,type,connection_status,last_reviewed,reviewed_by,days_since_review,is_stale,risk_range
CONN0001,APP001,SAP HR Core,hr.admin@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-12-15,hr.admin@cmacgm.com,84.0,False,HIGH
CONN0002,APP001,SAP HR Core,hr.admin@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2024-12-24,hr.admin@cmacgm.com,440.0,True,HIGH
CONN0003,APP001,SAP HR Core,hr.admin@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-09-28,hr.admin@cmacgm.com,162.0,False,HIGH
CONN0004,APP001,SAP HR Core,hr.admin@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-12-14,hr.admin@cmacgm.com,85.0,False,HIGH
CONN0005,APP001,SAP HR Core,hr.admin@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2024-04-27,hr.admin@cmacgm.com,681.0,True,HIGH
CONN0006,APP002,SAP Finance ERP,cfo.office@cmacgm.com,Finance,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,UNDOCUMENTED,,UNKNOWN,,False,HIGH
CONN0007,APP002,SAP Finance ERP,cfo.office@cmacgm.com,Finance,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,PENDING,,UNKNOWN,,False,HIGH
CONN0008,APP002,SAP Finance ERP,cfo.office@cmacgm.com,Finance,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-12-19,cfo.office@cmacgm.com,80.0,False,HIGH
CONN0009,APP002,SAP Finance ERP,cfo.office@cmacgm.com,Finance,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-02-02,cfo.office@cmacgm.com,35.0,False,HIGH
CONN0010,APP002,SAP Finance ERP,cfo.office@cmacgm.com,Finance,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2026-02-08,cfo.office@cmacgm.com,29.0,False,HIGH
CONN0011,APP003,Vessel Tracking System,fleet.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2024-03-15,fleet.ops@cmacgm.com,724.0,True,HIGH
CONN0012,APP003,Vessel Tracking System,fleet.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-10-05,fleet.ops@cmacgm.com,155.0,False,HIGH
CONN0013,APP003,Vessel Tracking System,fleet.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-10-25,fleet.ops@cmacgm.com,135.0,False,HIGH
CONN0014,APP003,Vessel Tracking System,fleet.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,PENDING,,UNKNOWN,,False,HIGH
CONN0015,APP004,Customer Portal,digital@cmacgm.com,Commercial,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-10-06,digital@cmacgm.com,154.0,False,HIGH
CONN0016,APP004,Customer Portal,digital@cmacgm.com,Commercial,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2024-11-15,digital@cmacgm.com,479.0,True,HIGH
CONN0017,APP004,Customer Portal,digital@cmacgm.com,Commercial,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-11-23,digital@cmacgm.com,106.0,False,HIGH
CONN0018,APP004,Customer Portal,digital@cmacgm.com,Commercial,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2025-11-18,digital@cmacgm.com,111.0,False,HIGH
CONN0019,APP005,Freight Booking Platform,booking@cmacgm.com,Commercial,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,UNDOCUMENTED,,UNKNOWN,,False,HIGH
CONN0020,APP005,Freight Booking Platform,booking@cmacgm.com,Commercial,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-09-20,booking@cmacgm.com,170.0,False,HIGH
CONN0021,APP005,Freight Booking Platform,booking@cmacgm.com,Commercial,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2026-02-17,booking@cmacgm.com,20.0,False,HIGH
CONN0022,APP005,Freight Booking Platform,booking@cmacgm.com,Commercial,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,Active,2026-02-07,booking@cmacgm.com,30.0,False,HIGH
CONN0023,APP005,Freight Booking Platform,booking@cmacgm.com,Commercial,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-10-14,booking@cmacgm.com,146.0,False,HIGH
CONN0024,APP006,Port Operations Dashboard,port.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,PENDING,,UNKNOWN,,False,HIGH
CONN0025,APP006,Port Operations Dashboard,port.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-12-01,port.ops@cmacgm.com,98.0,False,HIGH
CONN0026,APP006,Port Operations Dashboard,port.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM003,Role-Based Access Control (RBAC),Access Control,Active,2025-10-31,port.ops@cmacgm.com,129.0,False,HIGH
CONN0027,APP006,Port Operations Dashboard,port.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM004,Multi-Factor Authentication (MFA),Authentication,UNDOCUMENTED,,UNKNOWN,,False,HIGH
CONN0028,APP006,Port Operations Dashboard,port.ops@cmacgm.com,Operations,Production,HIGH,Yes,IAM005,Identity Governance & Administration (IGA),Governance,Active,2025-12-12,port.ops@cmacgm.com,87.0,False,HIGH
CONN0029,APP007,Payroll System,hr.payroll@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM001,Azure Active Directory,Identity Provider,Active,2025-12-08,hr.payroll@cmacgm.com,91.0,False,HIGH
CONN0030,APP007,Payroll System,hr.payroll@cmacgm.com,Human Resources,Production,HIGH,Yes,IAM002,Privileged Access Management (PAM),Privileged Access,Active,2025-09-20,hr.payroll@cmacgm.com,170.0,False,HIGH
